SNOMED;TRAN_SNOMED;Data_Type
M00010;M00110;CELL
M73220;M00110;CELL
M-0000;M00110;CELL
M72000;M00110;CELL
M54110;M00110;CELL
M80106;M80009;CELL
M80411;M80009;CELL
M80416;M80009;CELL
M73000;M00110;CELL
KV14;M09010;CELL
M69736;M69700;CELL
M69738;M69719;CELL
M81203;M80009;CELL
CA;M80703;CELL
M69709;M80703;CELL
FEL;M09010;CELL
M09000;M09010;CELL
M69727;M69720;CELL
M69728;M81403;CELL
M88500;M00110;CELL
M81402;M81403;CELL
M74008;M80702;CELL
M69780;M00110;CELL
M69717;M74007;CELL
M00120;M00110;CELL
M69726;M69720;CELL
M41000;M00110;CELL
KV25;M09010;CELL
M00013;M09010;CELL
E2;M00110;CELL
E3;M00110;CELL
E4;M00110;CELL
E5;M00110;CELL
M09020;M09010;CELL
M09030;M09010;CELL
M69701;M69700;CELL
M81406;M80009;CELL
S01;M00110;CELL
E4000;M00110;CELL
E4000;M00110;CELL
M79300;M00110;CELL
S01;M00110;CELL
R01;M00110;CELL
M09450;M00110;CELL
D0110;M00110;CELL
D0403;M00110;CELL
D0550;M00110;CELL
E4432;M00110;CELL
M09000;M09010;CELL
M09050;M00110;CELL
M09350;M09010;CELL
M31000;M00110;CELL
M43000;M00110;CELL
M73220;M00110;CELL
M79300;M00110;CELL
M80701;M80703;CELL
M72600;M00110;CELL
M73200;M00110;CELL
M80101;M80009;CELL
M81409;M81403;CELL
M83103;M81403;CELL
M89303;M80009;CELL
M91030;M00110;CELL
M09030;M09010;CELL
M00020;M09010;CELL
M6971N;M69710;CELL
M6971P;M69710;CELL
M7406N;M74006;CELL
M7406P;M74006;CELL
M7670N;M76700;CELL
M0011A;M00110;CELL
M0011F;M00110;CELL
M09014;M09010;CELL
M0903X;M09010;CELL
M72600;M00110;CELL
M9019A;M09019;CELL
M9019F;M09019;CELL
E1871;M00110;CELL
M80701;M80703;CELL
M00300;M00110;CELL
M69717;M74007;CELL
M69726;M69720;CELL
E4000;M00110;CELL
M09100;M09010;CELL
M41000;M00110;CELL
M43000;M00110;CELL
M44000;M00110;CELL
M44400;M00110;CELL
M76701;M76700;CELL
M43000;M00110;CELL
S10;M00110;CELL
M73225;M00110;CELL
5013;M69710;CELL
M05013;M69710;CELL
M09000;M09010;CELL
M09450;M00110;CELL
M37000;M00110;CELL
M40000;M00110;CELL
M69706;M69700;CELL
M82601;M81403;CELL
M80001;M80009;CELL
M80003;M80009;CELL
M80701;M80703;CELL
M81401;M81403;CELL
M81402;M81403;CELL
M81406;M80009;CELL
M-09024;M09010;CELL
M00000;M09010;CELL
M00030;M69700;CELL
M00100;M00110;CELL
M09000;M09010;CELL
M09002;M09019;CELL
M09011;M09010;CELL
M09012;M09010;CELL
M09013;M09010;CELL
M09030;M09010;CELL
M09450;M00110;CELL
M11600;M00110;CELL
M40000;M00110;CELL
M41000;M00110;CELL
M50000;M00110;CELL
M58000;M00110;CELL
M69750;M69710;CELL
M69716;M69710;CELL
M69718;M80702;CELL
M69780;M00110;CELL
M33410;M00110;CELL
M80001;M80009;CELL
M80003;M80009;CELL
M80101;M80009;CELL
M80701;M80703;CELL
M81401;M81403;CELL
AS;M69710;CELL
E1;M00110;CELL
EB;M09010;CELL
I;M74006;CELL
II;M74007;CELL
III;M80702;CELL
KA;M69720;CELL
KS;M09019;CELL
M00120;M00110;CELL
MA;M81403;CELL
N;M00110;CELL
NB;M09010;CELL
OA;M69700;CELL
OM;M09019;CELL
OP;M09010;CELL
XX;M74006;CELL
M4;M00110;CELL
M40000;M00110;CELL
M69717;M74007;CELL
M80701;M80703;CELL
D0350;M00110;CELL
M41700;M00110;CELL
M00100;M00110;CELL
M40000;M00110;CELL
M81402;M81403;CELL
M00100;M00110;CELL
M09000A;M09010;CELL
M09030;M09010;CELL
M69716;M74006;CELL
M69717;M74007;CELL
M69718;M80702;CELL
M72020;M00110;CELL
M80101;M80009;CELL
KV13;M09019;CELL
KV16;M09010;CELL
KV24;M09010;CELL
KV26;M09010;CELL
KV11;M00110;CELL
M09000;M09010;CELL
M09002;M09019;CELL
M09003;M09010;CELL
M09004;M09010;CELL
M09030;M09010;CELL
M69706;M69700;CELL
M69707;M74007;CELL
M69716;M74006;CELL
M69726;M69720;CELL
M69750;M69700;CELL
M69790;M76700;CELL
M74008;M80702;CELL
M80103;M80009;CELL
M80701;M80703;CELL
M80709;M80703;CELL
M81401;M81403;CELL
M81409;M81403;CELL
M84606;M80703;CELL
M09000;M09010;CELL
M80003;M80009;CELL
M80701;M80703;CELL
M81401;M81403;CELL
M81406;M81403;CELL
M40000;M00110;CELL
M81401;M81403;CELL
M40000;M00110;CELL
M80701;M80703;CELL
M81401;M81403;CELL
M40000;M00110;CELL
M80003;M80009;CELL
M80701;M80703;CELL
M81401;M81403;CELL
M00030;M69700;CELL
M00120;M00110;CELL
M09000;M09010;CELL
M09015;M09010;CELL
M09020;M09010;CELL
M09030;M09010;CELL
M09350;M09010;CELL
M09450;M00110;CELL
M40000;M00110;CELL
M45010;M00110;CELL
M69717;M74007;CELL
M73220;M00110;CELL
M74008;M80702;CELL
M74200;M00110;CELL
M80701;M80703;CELL
M81401;M81403;CELL
M40000;M00110;CELL
M80003;M80009;CELL
M81401;M81403;CELL
M95903;M00110;CELL
M00030;M69700;CELL
M00100;M00110;CELL
M0011X;M00110;CELL
M09K19;M09019;CELL
M09X10;M09010;CELL
M0X110;M00110;CELL
M6971K;M69710;CELL
M6971X;M69710;CELL
M74008;M80702;CELL
M740X6;M74006;CELL
M00100;M00110;CELL
M0011Y;M00110;CELL
M0011Z;M00110;CELL
M09011;M09010;CELL
M09012;M09010;CELL
M09015;M09010;CELL
M09030;M09010;CELL
M09350;M09010;CELL
M09450;M00110;CELL
M09X01;M09010;CELL
M09X02;M09010;CELL
M09X03;M09010;CELL
M09X05;M09010;CELL
M09X06;M09010;CELL
M37000;M00110;CELL
M40000;M00110;CELL
M6971H;M69710;CELL
M6971N;M69710;CELL
M6971P;M69710;CELL
M6971Z;M69719;CELL
M69726;M69720;CELL
M7406H;M74006;CELL
M7406N;M74006;CELL
M7406P;M74006;CELL
M80003;M80009;CELL
M80701;M80703;CELL
M81401;M81403;CELL
M00120;M00110;CELL
M09000;M09010;CELL
M09450;M00110;CELL
M11600;M00110;CELL
M41000;M00110;CELL
M58000;M00110;CELL
M69780;M00110;CELL
M73220;M00110;CELL
M80102;M80703;CELL
M80103;M80009;CELL
M80701;M80703;CELL
M81401;M81403;CELL
M81402;M81403;CELL
M85603;M81403;CELL
M00120;M00110;CELL
M09000;M09010;CELL
M09030;M09010;CELL
M37000;M00110;CELL
M40000;M00110;CELL
M69716;M74006;CELL
M69717;M74007;CELL
M69718;M80702;CELL
M80701;M80703;CELL
M81401;M81403;CELL
N0098;M00110;CELL
N063;M09019;CELL
M00120;M00110;CELL
M09000;M09010;CELL
M09030;M09010;CELL
M80701;M80703;CELL
M81401;M81403;CELL
E1002;M00110;CELL
M00120;M00110;CELL
M37000;M00110;CELL
M80701;M80703;CELL
M81401;M81403;CELL
M00030;M69700;CELL
M09000;M09010;CELL
M09004;M09010;CELL
M69706;M69700;CELL
M74008;M80702;CELL
MV00110;M00110;CELL
MV09010;M09010;CELL
MV69700;M69720;CELL
MV69710;M74006;CELL
MV69719;M69719;CELL
MV69720;M74007;CELL
MV74006;M74006;CELL
MV74007;M74007;CELL
MV80702;M80702;CELL
MV80703;M80703;CELL
201;M09010;CELL
203;M09019;CELL
204;M09010;CELL
205;M09010;CELL
206;M09019;CELL
207;M09019;CELL
M00120;M00110;CELL
M69700;M69720;CELL
M69740;M69700;CELL
M69746;M69700;CELL
M09000;M09010;CELL
M09002;M09019;CELL
M09003;M09010;CELL
M09004;M09010;CELL
M09030;M09010;CELL
M74008;M80702;CELL
M80701;M80703;CELL
M81401;M81403;CELL
M09000;M09010;CELL
M09030;M09010;CELL
M15000;M09019;CELL
M69716;M69710;CELL
M74008;M80702;CELL
M09000;M09010;CELL
M09030;M09010;CELL
M69780;M00110;CELL
M81401;M81403;CELL
M81402;M81403;CELL
E1002;M00110;CELL
M09000;M09010;CELL
M69718;M80702;CELL
M69780;M00110;CELL
M74008;M80702;CELL
M81401;M81403;CELL
M99996;M09010;CELL
M00100;M00110;CELL
M09000;M09010;CELL
M09450;M00110;CELL
M40000;M00110;CELL
M69701;M69700;CELL
M72600;M00110;CELL
M74008;M80702;CELL
M80001;M80009;CELL
M80101;M80009;CELL
M80701;M80703;CELL
M84006;M80009;CELL
E1871;M00110;CELL
M79300;M00110;CELL
E1871;M00110;CELL
M76005;M69710;CELL
M09;M09010;CELL
M00035;M09010;CELL
M38000;M00110;CELL
M40400;M00110;CELL
M73000;M00110;CELL
M09350;M09010;CELL
200;M09010;CELL
E1000;M00110;CELL
E1877;M00110;CELL
M43003;M00110;CELL
M69880;M00110;CELL
M54110;M00110;CELL
E4000;M00110;CELL
E408;M00110;CELL
M0012;M00110;CELL
M42100;M00110;CELL
E4000;M00110;CELL
M81409;M81403;CELL
E4432;M00110;CELL
M10000;M00110;CELL
M43000;M00110;CELL
M44140;M00110;CELL
M49000;M00110;CELL
M50000;M00110;CELL
F3100;M00110;CELL
M72600;M00110;CELL
M73000;M00110;CELL
M73000;M00110;CELL
M09090;M09010;CELL
M00020;M09010;CELL
M00100;M00110;CELL
702;M09010;CELL
M09001;M09005;CELL
M32100;M00110;CELL
M33410;M00110;CELL
M47170;M00110;CELL
M69708;M69700;CELL
M76600;M76700;CELL
M80000;M00110;CELL
M69707;M74007;CELL
M00000;M09010;CELL
A32;M09010;CELL
E1002;M00110;CELL
M80103;M80009;CELL
M58000;M00110;CELL
MA0000;M81403;CELL
M00030;M69700;CELL
M33400;M00110;CELL
M71600;M00110;CELL
M90100;M00110;CELL
B03;M00110;CELL
BIOJ;M00110;CELL
K80000;M00110;CELL
KV14;M09010;CELL
S5;M09010;CELL
S6;M09010;CELL
S60;M09010;CELL
S7;M09010;CELL
M40000;M00110;CELL
M69718;M80702;CELL
M80003;M80009;CELL
M80001;M80009;CELL
M74000;M69719;CELL
M69707;M74007;CELL
M81401;M81403;CELL
M37000;M00110;CELL
M00120;M00110;CELL
S01;M00110;CELL
E4432;M00110;CELL
M38000;M00110;CELL
M41700;M00110;CELL
M37;M00110;CELL
E0111;M00110;CELL
E4432;M00110;CELL
M09010;M09010;CELL
M09019;M09019;CELL
M00110;M00110;CELL
M69710  ;M69710  ;CELL
M69719;M69719;CELL
M74006;M74006;CELL
M74007;M74007;CELL
M80702;M80702;CELL
M80703  ;M80703  ;CELL
M69720;M69720;CELL
M81403;M81403;CELL
M69700;M69700;CELL
M80009;M80009;CELL
M09005;M09005;CELL
M76700;M76700;CELL
LSVJA;M00110;CELL
F02B33;F02B33;HPV
M091A6;M091A6;HPV
M09024;M09024;HPV
E334990;E334990;HPV
E334999;E334999;HPV
E33406;E33406;HPV
E33411;E33411;HPV
E33416;E33416;HPV
E33418;E33418;HPV
E33426;E33426;HPV
E33431;E33431;HPV
E33433;E33433;HPV
E33435;E33435;HPV
E33439;E33439;HPV
E33440;E33440;HPV
E33442;E33442;HPV
E33443;E33443;HPV
E33444;E33444;HPV
E33445;E33445;HPV
E33450;E33450;HPV
E33451;E33451;HPV
E33452;E33452;HPV
E33453;E33453;HPV
E33454;E33454;HPV
E33456;E33456;HPV
E33458;E33458;HPV
E33459;E33459;HPV
E33461;E33461;HPV
E33462;E33462;HPV
E33466;E33466;HPV
E33468;E33468;HPV
E33470;E33470;HPV
E33471;E33471;HPV
E33472;E33472;HPV
E33473;E33473;HPV
E33481;E33481;HPV
E33482;E33482;HPV
E33483;E33483;HPV
E33484;E33484;HPV
E33485;E33485;HPV
E33489;E33489;HPV
M76788;F02B33;HPV
FY5005;F02B33;HPV
F-02B33;F02B33;HPV
F-02B3;F02B33;HPV
F-02;F02B33;HPV
F02B33;F02B33;HPV
F02B3;F02B33;HPV
F02;F02B33;HPV
M-02B33;F02B33;HPV
E0004;F02B33;HPV
E000416;F02B33;HPV
E000418;F02B33;HPV
L35600;F02B33;HPV
V3000;F02B33;HPV
V1000;F02B33;HPV
M76799;M091A6;HPV
FY5006;M091A6;HPV
M-091A6;M091A6;HPV
M-091A;M091A6;HPV
M091A6;M091A6;HPV
M091A;M091A6;HPV
E3345;M091A6;HPV
E334500;M091A6;HPV
E334516;M091A6;HPV
E334518;M091A6;HPV
L35630;M091A6;HPV
L35631;M091A6;HPV
L35632;M091A6;HPV
V400H;M091A6;HPV
V400L;M091A6;HPV
V1845;M091A6;HPV
V3352;M091A6;HPV
V2016;M091A6;HPV
V3352;M091A6;HPV
V400H;M091A6;HPV
V400M;M091A6;HPV
V4006;M091A6;HPV
V4016;M091A6;HPV
V4018;M091A6;HPV
V4031;M091A6;HPV
V4033;M091A6;HPV
V4039;M091A6;HPV
V40510;M091A6;HPV
V4056;M091A6;HPV
V4059;M091A6;HPV
M-9024;M09024;HPV
FY5000;M09024;HPV
L09000;M09024;HPV
